customer_number,id,e_pay_accumulate_limit,e_pay_single_limit,trade_time,trade_amount,card_area,merchant_code,receiving_customer_code,pre_trade_result,is_common_ip,phone_equal,sign
270300036798313,181,5000.0,5000.0,159,2100.0,0.003540609005821732,0.006590886785388089,0.006590886785388089,0.0,1,0,1
161000002570914,4721,5000.0,5000.0,80798,1499.0,0.005866023870330903,0.0003732604997320056,0.0003732604997320056,0.0,0,0,1
161000002570914,4746,5000.0,5000.0,80738,1499.0,0.005866023870330903,0.041481280293269966,0.041481280293269966,1.0,0,0,1
180400026527126,7518,5000.0,5000.0,597,4935.0,0.002637603468571485,0.01460496336954526,0.01460496336954526,0.0,0,0,1
180400026527126,7577,5000.0,5000.0,402,4935.0,0.002637603468571485,0.01460496336954526,0.01460496336954526,1.0,0,0,1
180400026527126,7596,5000.0,5000.0,350,4935.0,0.002637603468571485,0.01460496336954526,0.01460496336954526,1.0,0,0,1
180400026527126,7612,5000.0,5000.0,308,4935.0,0.002637603468571485,0.01460496336954526,0.01460496336954526,1.0,0,0,1
180400026527126,7667,5000.0,5000.0,178,4935.0,0.002637603468571485,0.01460496336954526,0.01460496336954526,1.0,0,0,1
180400026527126,7743,5000.0,5000.0,0,4935.0,0.002637603468571485,0.01460496336954526,0.01460496336954526,1.0,0,0,1
161100024263956,8198,5000.0,5000.0,17829,468.0,0.004721072164932362,0.041481280293269966,0.041481280293269966,0.0,1,0,1
350000063469695,8355,5000.0,5000.0,0,2900.0,0.009247611805958391,0.006198309615779729,0.006198309615779729,0.0,0,0,1
50400001388492,8693,5000.0,5000.0,0,2200.0,0.00011375372260520608,0.006198309615779729,0.006198309615779729,0.0,0,0,1
161100024263956,10369,5000.0,5000.0,12190,338.0,0.004721072164932362,0.4351046719609952,0.4351046719609952,1.0,0,0,1
161100024263956,10384,5000.0,5000.0,12160,338.0,0.004721072164932362,0.4351046719609952,0.4351046719609952,1.0,0,0,1
161100024263956,10512,5000.0,5000.0,11882,709.0,0.004721072164932362,0.4351046719609952,0.4351046719609952,1.0,0,0,1
70400005263627,10868,5000.0,5000.0,24,4935.0,0.0002583360698615658,0.01460496336954526,0.01460496336954526,0.0,0,0,1
20000253579089,11729,5000.0,5000.0,0,265.0,0.01226101230666989,0.0047355108878702435,0.0047355108878702435,0.0,0,0,1
140500012952403,14142,5000.0,5000.0,32265,134.0,0.004608098913837311,0.4351046719609952,0.4351046719609952,0.0,0,0,1
360200008935460,14148,3000.0,3000.0,207,2625.0,0.0378046741268036,0.00046886825972608965,0.00046886825972608965,0.0,0,0,1
360200008935460,14163,3000.0,3000.0,152,2600.0,0.0378046741268036,0.015000272189439166,0.015000272189439166,1.0,0,0,1
360200008935460,14233,3000.0,3000.0,0,2606.0,0.0378046741268036,0.06576135873846146,0.06576135873846146,1.0,0,0,1
80600016388231,14798,5000.0,5000.0,22316,4935.0,0.0001523870623579176,0.01460496336954526,0.01460496336954526,0.0,0,0,1
160200058435268,15231,5000.0,5000.0,0,2000.0,0.007818178235108067,0.006590886785388089,0.006590886785388089,0.0,0,0,1
250200024595613,15463,5000.0,5000.0,82422,2500.0,0.00830304616079235,0.011668829548339185,0.011668829548339185,0.0,0,0,1
250200024595613,15519,5000.0,5000.0,82272,2500.0,0.00830304616079235,0.06576135873846146,0.06576135873846146,0.0,1,0,1
160200010330491,16537,5000.0,5000.0,350,1989.40002,0.0008694452623135478,0.041481280293269966,0.041481280293269966,1.0,0,0,1
160700003987573,16604,5000.0,3000.0,56639,500.0,0.006903465625205485,0.01460496336954526,0.01460496336954526,0.0,0,0,1
160700003987573,16629,5000.0,3000.0,56582,500.0,0.006903465625205485,0.01460496336954526,0.01460496336954526,1.0,0,0,1
210200012525460,18321,5000.0,5000.0,0,472.5,0.012015749134603432,0.03469878775213864,0.03469878775213864,0.0,0,0,1
140500012952403,19011,5000.0,5000.0,19248,134.0,0.004608098913837311,0.4351046719609952,0.4351046719609952,0.0,0,0,1
140500012952403,19160,5000.0,5000.0,18852,134.0,0.004608098913837311,0.4351046719609952,0.4351046719609952,0.0,1,0,1
140500012952403,19213,5000.0,5000.0,18703,134.0,0.004608098913837311,0.4351046719609952,0.4351046719609952,0.0,1,0,1
140500012952403,19299,5000.0,5000.0,18491,1340.0,0.004608098913837311,0.4351046719609952,0.4351046719609952,0.0,0,0,1
